timestamp,electrode,s1,s2,s3,s4,s5,intuitive
1745103174397,3,1916,29269,22615,-30859,28981,0
1745103174397,2,6009,31378,-24745,-14472,31113,0
1745103174398,0,22125,25674,-26586,1643,26023,0
1745103174399,1,-8195,-204,6397,26,1792,0
1745103174442,3,6272,30743,-22153,-22656,31158,0
1745103174442,2,18297,30597,-25161,30587,31394,0
1745103174443,0,-2184,29411,-12186,-14478,30121,0
1745103174444,1,-1,-2112,-11409,-8197,-189,0
1745103174487,3,22653,32256,-10409,-30593,32539,0
1745103174487,2,30588,31681,-15945,-18564,31689,0
1745103174488,0,10094,31665,14039,1908,-32542,0
1745103174489,1,-16378,28672,-1,8184,-1126,0
1745103174532,3,26488,-32530,-25513,14455,-31741,0
1745103174532,2,-22660,32448,-5321,26751,32259,0
1745103174533,0,22387,32668,-26249,-14482,-31950,0
1745103174534,1,2,256,24384,1792,-101,0
1745103174576,3,18295,32395,-6921,-6277,-31515,0
1745103174577,2,1917,31953,-15881,-2182,31929,0
1745103174578,0,30582,31784,21768,14209,-31854,0
1745103174579,1,20488,512,13760,2048,-24,0
1745103174652,3,14210,-32308,24280,-26495,-29641,0
1745103174652,2,10110,-32537,2888,-26753,-32526,0
1745103174653,0,6025,29081,-16137,10378,31569,0
1745103174655,1,8381,117,-4608,1280,-38,0
1745103174667,3,30855,32016,10488,-14202,31502,0
1745103174667,2,10110,32191,2488,2177,-32753,0
1745103174668,0,-22397,30766,23191,-1921,31080,0
1745103174682,1,-5,-1089,-16385,-5,-1089,0
1745103174712,3,-10370,30905,-18313,-26756,32204,0
1745103174713,2,10369,32261,-1801,18560,-32766,0
1745103174742,0,14463,-30735,27239,18551,-31429,0
1745103174743,1,-5,-1089,-16385,-5,-1089,0
1745103174772,3,-10366,29151,16023,30845,32547,0
1745103174772,2,-22658,32225,-8121,30848,-32750,0
1745103174773,0,30846,-30888,-13513,6004,-28957,0
1745103174774,1,-24587,-4609,21972,1536,-1082,0
1745103174816,3,30584,32463,-12809,6269,-32467,0
1745103174817,2,-10370,32765,-6329,-10371,32226,0
1745103174818,0,26487,32007,11832,-26760,-32149,0
1745103174819,1,0,1024,2560,2304,-155,0
1745103174862,3,-18571,-32322,-2233,26490,-31251,0
1745103174862,2,-22661,31951,-12297,18301,32488,0
1745103174863,0,-6274,30002,19128,-10360,30906,0
1745103174864,1,4105,20224,-11457,-12546,-40,0
1745103174907,3,26491,32666,9800,1915,32683,0
1745103174907,2,-22661,31940,-16745,26491,31937,0
1745103174908,0,-10362,29424,21623,18563,31296,0
1745103174909,1,0,128,15622,-1,-1891,0
1745103174952,3,-10375,29188,-17993,-10373,29518,0
1745103174952,2,-14469,31393,-19529,-6279,31646,0
1745103174953,0,30850,30030,-7130,-22668,31427,0
1745103174954,1,-5,-3368,-97,8378,1352,0
1745103174997,3,6015,28860,11719,1916,29865,0
1745103174997,2,-10374,31135,-23401,-18566,30876,0
1745103174998,0,-26768,32190,-4538,-10388,32376,0
1745103174999,1,-28680,31743,176,-20475,22,0
1745103175042,3,-26759,30669,27335,-2182,31698,0
1745103175042,2,-14470,31405,-24713,-10374,30894,0
1745103175043,0,-30861,32545,-2217,30323,31706,0
1745103175044,1,0,0,17920,0,-25600,0
1745103175087,3,-30861,31115,17223,18287,32139,0
1745103175088,2,-2184,31396,-28857,26488,31137,0
1745103175102,0,-22922,29685,-11481,-22665,29454,0
1745103175103,1,0,0,0,0,6,0
1745103175147,3,-2191,-31904,-3337,30580,31825,0
1745103175147,2,26489,31930,-13321,1914,31636,0
1745103175148,0,-6276,29807,-16585,-30587,31535,0
1745103175149,1,768,-5861,-129,-20492,-1059,0
1745103175206,3,-26761,31551,18952,-14467,29993,0
1745103175207,2,-2184,31372,-17881,-10374,31132,0
1745103175207,0,-10112,32336,-25593,-1922,-32655,0
